Village_st,Samp_count,SHED_NAME,area_m2,Uniqe_ID,OSDS_cnt,Pig_cnt,pct_ag,ag_area_m2,NatArea,pct_Nat,OSDS_Load_kgDINpYr,PIG_Load_kgDINpYr,AG_Load_kgDINpYr,NAT_Load_kgDINpYr,Total_Load_kgDINpYr,Area_scaled_Total_Modeled_Load,Coast_scaled_Total_Modeled_Load
Amaluia_Vaipuna,12,Leone,948249.2813,WS_0_Leone,20,6,0.031417143,29791.28312,839330,0.885136447,0.814828393,0.056541244,0.014458531,0.304068349,1.189896517,1.254835137,3.049575074
Amanave_Laloafu,12,Amanave,498758.6563,WS_1_Amanave,27,20,0.141551141,70599.85663,361224,0.724246077,1.10001833,0.188470815,0.034264056,0.130862456,1.453615657,2.914467024,1.534437885
Amanave_Puna,13,Amanave,279178.5625,WS_4_Amanave,22,2,0.086756227,24220.47886,172425,0.617615473,0.896311232,0.018847081,0.011754866,0.062465282,0.989378461,3.543891237,2.020093446
Asili_Asili,12,Afao - Asili,2013216.938,WS_5_Afao - Asili,32,49,0.040230067,80991.85264,1839401,0.913662589,1.303725428,0.461753496,0.039307578,0.666369158,2.47115566,1.227466158,3.225660558
Fagaalu_Fagaalu,12,Fagaalu,2477828.219,WS_9_Fagaalu,124,132,0.02198928,54485.65765,2004555,0.80899676,5.051936034,1.243907377,0.026443391,0.726200338,7.04848714,2.844623,3.270148668
Fagamalo_Matavai,12,Fagamalo,1125981.5,WS_13_Fagamalo,7,41,0.010343878,11647.01538,1048899,0.931541948,0.285189937,0.38636517,0.005652618,0.379989977,1.057197702,0.938912142,0.501646594
Leone_Leafu,12,Leone,3788884.781,WS_17_Leone,233,701,0.099299662,376234.9793,2634103,0.695218554,9.492750774,6.605902054,0.182597203,0.954269895,17.23551993,4.548969135,12.56196288
Maloata_Maloata,12,Maloata,2801859.109,WS_18_Maloata,5,5,0.008095262,22681.78392,2718603,0.970285405,0.203707098,0.047117704,0.011008095,0.98488214,1.246715036,0.444959931,0.876723508
Matuu_Afuelo,12,Matuu - Faganeanea,1196699.031,WS_21_Matuu - Faganeanea,73,55,0.04389823,52532.96902,970601,0.811065251,2.974123633,0.51829474,0.025495697,0.351624562,3.869538633,3.233510291,2.015176205
Nua-Seetaga_Saonapule,12,Nua - Seetaga,1680939.516,WS_24_Nua - Seetaga,81,252,0.054537912,91674.93069,1387461,0.825408045,3.30005499,2.374732265,0.04449237,0.502642555,6.22192218,3.701455122,3.692165024
Nuuuli_Amalie,12,Nuuuli Pala,553288.5313,WS_25_Nuuuli Pala,6,26,0.014091334,7796.573517,514521,0.929932523,0.244448518,0.245012059,0.003783892,0.18639814,0.679642609,1.228369234,5.980343941
Poloa_Vaitele,12,Poloa,660793.25,WS_33_Poloa,9,25,0.019964421,13192.3545,599426,0.907130937,0.366672777,0.235588518,0.006402613,0.217157107,0.825821015,1.249741905,2.19920868
Alega_Alega,12,Alega,963139.1875,WS_35_Alega,11,14,0.00986635,9502.668103,902063,0.936586333,0.448155616,0.13192957,0.004611907,0.326794952,0.911492045,0.946376242,0.952512307
Alofau_Fogalilima,13,Fagaitua,694622.2813,WS_40_Fagaitua,46,52,0.048202207,33482.32706,526207,0.757544084,1.874105303,0.490024118,0.016249896,0.190631687,2.571011004,3.701307996,2.583559243
Alofau_Nuu,13,Fagaitua,191931.7188,WS_41_Fagaitua,16,30,0.109670848,21049.31443,128417,0.669076486,0.651862714,0.282706222,0.010215812,0.04652228,0.991307028,5.164894238,5.893664337
Amaua_No name,14,Fagaitua,438791.8125,WS_43_Fagaitua,20,11,0.025188025,11052.29898,349892,0.797398652,0.814828393,0.103658948,0.005363985,0.126757155,1.050608481,2.394321067,1.214347179
Amouli_Laloi,11,Amouli,676601.3438,WS_46_Amouli,28,77,0.066056954,44694.22399,550310,0.813344527,1.14075975,0.725612636,0.021691339,0.199363603,2.087427328,3.085165803,5.596586973
Amouli_Televai,12,Amouli,616551.3125,WS_51_Amouli,30,122,0.051285377,31620.0663,442745,0.718099193,1.222242589,1.149671969,0.01534609,0.160395484,2.547656131,4.132107223,6.886988249
Aoa_Tapua,12,Aoa,1051422.313,WS_58_Aoa,82,62,0.05156984,54221.68062,759976,0.722807564,3.34079641,0.584259525,0.026315276,0.275320372,4.226691583,4.019975164,7.166368462
Aoa_Vaitolu,12,Aoa,944906.5938,WS_60_Aoa,20,47,0.040800079,38552.26344,850711,0.90031227,0.814828393,0.442906414,0.018710476,0.308191402,1.584636685,1.677029979,2.229863732
Fagaitua_Tialu,13,Fagaitua,564200.9375,WS_61_Fagaitua,34,32,0.083074308,46870.60271,397074,0.703781177,1.385208267,0.301553303,0.022747595,0.143850018,1.853359184,3.284927516,1.992730114
Fagaitua_Siapapa,13,Fagaitua,176019.875,WS_63_Fagaitua,25,0,0.136709797,24063.6414,116375,0.66114693,1.018535491,0,0.011678748,0.042159763,1.072374002,6.092346119,5.961988962
Fagatele_No name,11,Fagatele - Larsen,1044349.031,WS_66_Fagatele - Larsen,0,0,0.018961979,19802.92407,895314,0.857293848,0,0,0.009610905,0.324349958,0.333960862,0.319778975,0.057554236
Laulii_Vaitele,12,Laulii - Aumi,1758528.75,WS_67_Laulii - Aumi,110,167,0.043574935,76627.7764,1461305,0.83098158,4.481556159,1.573731302,0.037189571,0.529394397,6.62187143,3.765574734,5.469932327
Masausi_Panata,12,Masausi,301075.8125,WS_70_Masausi,17,16,0.045132989,13588.45119,234126,0.777631381,0.692604134,0.150776652,0.00659485,0.084818017,0.934793652,3.104844739,1.151043582
Masausi_Vaipito,12,Masausi,501621.8125,WS_73_Masausi,10,36,0.047711129,23932.94313,417477,0.832254479,0.407414196,0.339247466,0.011615317,0.151241517,0.909518496,1.813155795,0.900924687
Masefau_Talaloa,12,Masefau,3620054.719,WS_74_Masefau,84,116,0.04344057,157257.2409,3025268,0.83569676,3.422279249,1.093130725,0.076321272,1.09597923,5.687710476,1.57116699,0.77881011
Afono_Pago,11,Afono,2832005.406,WS_75_Afono,57,282,0.040490466,114669.2177,2393815,0.845272045,2.322260919,2.657438487,0.055652131,0.867219539,5.902571075,2.08423722,1.358745176
Amalau_Tiaiu,11,Vatia,1125667.688,WS_76_Vatia,3,0,0.006618043,7449.717369,1038870,0.922892263,0.122224259,0,0.003615553,0.37635672,0.502196532,0.446132138,0.153204876
Aua_Lalomauna,10,Pago Pago Harbor,1602383,WS_77_Pago Pago Harbor,175,257,0.074111101,118754.3681,1110290,0.692899263,7.129748435,2.421849968,0.057634767,0.402230407,10.01146358,6.247859331,8.112284959
Fagasa_Leele,11,Fagasa,1396610.75,WS_82_Fagasa,67,58,0.059418164,82984.04604,1153701,0.826071975,2.729675115,0.546565362,0.040274444,0.417957131,3.734472053,2.673953392,1.938997286
Fagasa_Agasii,11,Fagasa,1775096.156,WS_85_Fagasa,50,60,0.050847277,90258.8057,1466108,0.825931595,2.037070982,0.565412444,0.043805086,0.531134404,3.177422915,1.790000448,2.107906526
Oa_No name,2,Afono,538939.5313,WS_89_Afono,0,0,0,0,530372,0.984102982,0,0,0,0.192140563,0.192140563,0.356515994,0.160833694
Vatia_Faatafe,12,Vatia,1558863.938,WS_90_Vatia,14,16,0.029936465,46666.876,1376335,0.882909,0.570379875,0.150776652,0.022648721,0.498611883,1.24241713,0.79700165,0.888092166
Vatia_Gaoa,12,Vatia,1697312.125,WS_91_Vatia,67,102,0.033702614,57203.85608,1446910,0.852471374,2.729675115,0.961201155,0.027762608,0.524179447,4.242818325,2.499727812,2.683159231
Vatia_Lausaa,12,Vatia,507508.9688,WS_92_Vatia,19,34,0.02873722,14584.3968,441059,0.869066415,0.774086973,0.320400385,0.00707821,0.159784688,1.261350255,2.4853753,6.729539195
0,,Nua - Seetaga,300983.6719,WS_2_Nua - Seetaga,11,36,0.021137433,6362.022167,259814,0.863216261,0.448155616,0.339247466,0.003087665,0.09412414,0.884614887,2.939079323,1.012324936
0,,Afao - Asili,753573.4063,WS_6_Afao - Asili,21,224,0.071142485,53611.08439,593900,0.788111676,0.855569812,2.110873124,0.026018937,0.215155174,3.207617047,4.256542257,2.602878584
0,,Pago Pago Harbor,1110612.219,WS_7_Pago Pago Harbor,112,43,0.073010943,81086.84508,698849,0.629246634,4.563038999,0.405212252,0.03935368,0.253175583,5.260780513,4.736829313,2.982392282
0,,Pago Pago Harbor,1010308,WS_8_Pago Pago Harbor,144,55,0.060972574,61601.0793,342018,0.338528449,5.866764427,0.51829474,0.029896701,0.123904601,6.538860469,6.472145593,2.359710264
0,,Aoloau Sisifo,1603403.609,WS_10_Aoloau Sisifo,0,0,0,0,1561218,0.973689962,0,0,0,0.565590388,0.565590388,0.352743616,0.133912917
0,,Aoloau Sasae,3481336.844,WS_11_Aoloau Sasae,19,146,0.027883366,97071.39111,3290395,0.945152724,0.774086973,1.375836947,0.047111421,1.192028137,3.389063478,0.973494847,1.223595806
0,,Fagamalo,997093.9531,WS_12_Fagamalo,0,0,0,0,964222,0.967032241,0,0,0,0.349313609,0.349313609,0.35033169,0.110745986
0,,Aasu,3131735.313,WS_14_Aasu,70,391,0.128371638,402025.9904,2347839,0.749692667,2.851899374,3.684604426,0.195114292,0.850563579,7.582181671,2.421079981,7.115115844
0,,Aoloau Sasae,1806194.344,WS_15_Aoloau Sasae,0,0,0.014021078,25324.79257,1750242,0.969021969,0,0,0.01229082,0.634069074,0.646359893,0.357857335,0.248265459
0,,Fagalii,223001.0156,WS_19_Fagalii,0,0,0,0,204018,0.914874757,0,0,0,0.073910639,0.073910639,0.331436333,0.044761023
0,,Matuu - Faganeanea,837427.9688,WS_20_Matuu - Faganeanea,20,6,0.013789912,11548.058,775948,0.926584768,0.814828393,0.056541244,0.005604591,0.28110663,1.158080857,1.382902053,2.115796562
0,,Nua - Seetaga,559874.25,WS_22_Nua - Seetaga,14,238,0.077924223,43627.76591,456637,0.815606362,0.570379875,2.242802694,0.021173757,0.165428209,2.999784535,5.357961248,2.681360903
0,,Nua - Seetaga,553175.6406,WS_23_Nua - Seetaga,5,5,0.153242279,84769.89594,440901,0.797036181,0.203707098,0.047117704,0.041141166,0.159727448,0.451693417,0.816546108,0.674901546
0,,Nuuuli Pala,677529.9063,WS_26_Nuuuli Pala,31,153,0.050705182,34354.27724,493422,0.728266008,1.262984009,1.441801732,0.016673077,0.178754498,2.900213316,4.280568709,5.292858968
0,,Matuu - Faganeanea,566166.1563,WS_27_Matuu - Faganeanea,16,1,0.028084259,15900.35685,497833,0.879305473,0.651862714,0.009423541,0.007716881,0.180352494,0.84935563,1.500187923,0.780982085
0,,Nuuuli Pala,816910.7813,WS_28_Nuuuli Pala,38,22,0.052397156,42803.80132,535578,0.655613823,1.548173946,0.207317896,0.020773864,0.194026567,1.970292273,2.411881834,1.803291739
0,,Nuuuli Pala,1040153.125,WS_29_Nuuuli Pala,81,175,0.066286723,68948.34223,557150,0.535642288,3.30005499,1.649119628,0.03346253,0.201841565,5.184478714,4.984341814,1.268063502
0,,Nuuuli Pala,274849.1875,WS_30_Nuuuli Pala,44,55,0.001881032,517,24330,0.088521273,1.792622464,0.51829474,0.000250914,0.008814153,2.319982271,8.44092825,0.714275717
0,,Fagalii,1836641.906,WS_32_Fagalii,22,82,0.040328938,74069.81738,1554165,0.846199248,0.896311232,0.77273034,0.035948123,0.563035261,2.268024957,1.234875971,1.803580737
0,,Poloa,650343.2188,WS_34_Poloa,25,21,0.070190324,45647.8011,485264,0.746166003,1.018535491,0.197894355,0.022154136,0.175799058,1.41438304,2.174825537,0.436225013
0,,Alega,208122.125,WS_36_Alega,5,0,0.015498197,3225.517625,166609,0.800534782,0.203707098,0,0.001565433,0.06035829,0.265630821,1.276321875,0.285897758
0,,Alega,189669.0938,WS_37_Alega,2,0,0.01010614,1916.822486,166225,0.876394761,0.081482839,0,0.000930287,0.060219176,0.142632302,0.752006031,0.29694671
0,,Fagaitua,323197.75,WS_39_Fagaitua,12,2,0.018841416,6089.503388,283284,0.876503627,0.488897036,0.018847081,0.002955404,0.102626736,0.613326257,1.897681085,6.827741451
0,,Fagaitua,199200.1563,WS_42_Fagaitua,1,16,0.120036157,23911.22124,109325,0.548819851,0.04074142,0.150776652,0.011604775,0.039605724,0.24272857,1.218515961,0.164911685
0,,Fagaitua,403624.3125,WS_44_Fagaitua,3,9,0.034100219,13763.67753,373087,0.924342237,0.122224259,0.084811867,0.006679892,0.135160126,0.348876143,0.864358593,7.895407302
0,,Fagaitua,1018761.313,WS_45_Fagaitua,39,43,0.022854224,23282.99924,906189,0.889500798,1.588915366,0.405212252,0.011299881,0.328289699,2.333717198,2.29073991,3.893234713
0,,Amouli,633066.5,WS_47_Amouli,11,13,0.072171574,45689.4058,411134,0.649432564,0.448155616,0.12250603,0.022174328,0.148943606,0.741779579,1.17172458,0.269398046
0,,Auasi,509036.3125,WS_50_Auasi,15,22,0.016247677,8270.657494,444865,0.873935688,0.611121294,0.207317896,0.004013978,0.161163507,0.983616675,1.932311411,1.37665659
0,,Auasi,320962.1875,WS_52_Auasi,18,110,0.0752247,24144.28433,198531,0.618549498,0.733345553,1.036589481,0.011717887,0.071922835,1.853575756,5.77505958,1.16448213
0,,Auasi,162498.2188,WS_53_Auasi,2,0,0.008349168,1356.724957,113599,0.699078432,0.081482839,0,0.000658456,0.041154088,0.123295383,0.758749135,0.15802541
0,,Tula,371082.25,WS_54_Tula,4,41,0.03233331,11998.31747,267923,0.722004353,0.162965679,0.38636517,0.005823114,0.097061828,0.652215791,1.757604388,0.216656929
0,,Tula,1271853.719,WS_55_Tula,68,282,0.0760064,96669.02198,791844,0.622590466,2.770416535,2.657438487,0.04691614,0.286865354,5.761636516,4.530109423,5.668369552
0,,Onenoa,889393.5313,WS_56_Onenoa,20,33,0.086953402,77335.79305,714502,0.803358665,0.814828393,0.310976844,0.037533191,0.258846275,1.422184703,1.599049974,0.97246325
0,,Aoa,203218.4063,WS_57_Aoa,4,0,0.041391334,8411.48089,178381,0.877779741,0.162965679,0,0.004082323,0.064622992,0.231670994,1.140009897,0.212365555
0,,Alao,1344388.75,WS_59_Alao,80,142,0.052430049,70486.36859,1039101,0.77291706,3.25931357,1.338142784,0.034208977,0.376440406,5.008105737,3.725191644,4.438814634
0,,Tafuna Plain,14200838.25,WS_64_Tafuna Plain,1718,2166,0.194371552,2760238.976,2216796,0.156103179,69.99375893,20.41138923,1.339620037,0.803089965,92.54785815,6.517070086,8.277044195
0,,Fagatele - Larsen,2125458.156,WS_65_Fagatele - Larsen,30,55,0.198005991,420853.4489,1259291,0.592479789,1.222242589,0.51829474,0.204251776,0.456209757,2.400998862,1.129638264,0.702870159
0,,Laulii - Aumi,624484,WS_68_Laulii - Aumi,26,25,0.008352801,5216.190475,563698,0.902662038,1.05927691,0.235588518,0.002531561,0.204213742,1.501610732,2.404562378,1.842682113
0,,Laulii - Aumi,251413.6875,WS_69_Laulii - Aumi,27,7,0.019943443,5014.054444,187769,0.746852735,1.10001833,0.065964785,0.002433459,0.068024031,1.236440605,4.917952627,1.276633647
0,,Sailele,660281.1875,WS_71_Sailele,16,0,0.029997392,19806.71334,561771,0.850805703,0.651862714,0,0.009612744,0.203515638,0.864991096,1.310034441,0.363682221
0,,Masausi,762849,WS_72_Masausi,3,0,0.024103091,18387.01916,663065,0.869195608,0.122224259,0,0.008923727,0.240211931,0.371359917,0.486806585,0.347198823
0,,Pago Pago Harbor,1213046.781,WS_78_Pago Pago Harbor,123,46,0.06677659,81003.12697,893872,0.736881721,5.011194615,0.433482874,0.03931305,0.323827557,5.807818095,4.787793995,2.510320449
0,,Pago Pago Harbor,1016552.219,WS_79_Pago Pago Harbor,90,37,0.044404511,45139.504,782750,0.770004714,3.666727767,0.348671007,0.021907445,0.283570825,4.320877044,4.250521482,2.403048421
0,,Fagatuitui - Vaaogeoge,1852110.875,WS_80_Fagatuitui - Vaaogeoge,0,0,0,0,1779055,0.960555345,0,0,0,0.644507306,0.644507306,0.347985272,0.104750226
0,,Fagasa,321120.625,WS_83_Fagasa,9,0,0.0475891,15281.84159,256896,0.799998443,0.366672777,0,0.007416699,0.093067021,0.467156496,1.454769517,1.564455048
0,,Aasu,1747697.094,WS_86_Aasu,0,0,0,0,1702659,0.974230035,0,0,0,0.616830938,0.616830938,0.352939271,0.141507661
0,,Aasu,3561450.438,WS_87_Aasu,24,111,0.047908435,170623.5158,3293115,0.924655574,0.977794071,1.046013021,0.082808294,1.193013525,3.299628911,0.92648458,1.816070073
0,,Nuuuli Pala,11907939.63,WS_88_Nuuuli Pala,907,1203,999,1144818.335,6023572,999,36.95246761,11.3365195,0.555611885,2.182190074,51.02678906,4.285106464,11.84466594
0,,Fagatuitui - Vaaogeoge,752755.2813,WS_93_Fagatuitui - Vaaogeoge,0,0,0,0,703730,0.934872219,0,0,0,0.254943847,0.254943847,0.338680915,0.055836067
0,,Fagatuitui - Vaaogeoge,1588061.344,WS_95_Fagatuitui - Vaaogeoge,0,0,0,0,1563528,0.984551388,0,0,0,0.566427243,0.566427243,0.35667844,0.296819016
0,,Pago Pago Harbor,865800.7766,WS_96_Pago Pago Harbor,86,22,0.060064915,52004.25006,576923,0.666346134,3.503762088,0.207317896,0.025239096,0.20900483,3.94532391,4.556849586,2.824463958
0,,Pago Pago Harbor,198174.5313,WS_97_Pago Pago Harbor,19,0,0.043415195,8603.785919,85999,0.433955864,0.774086973,0,0.004175654,0.031155295,0.809417923,4.084369054,0.803390367
FAGAITUA,,Fagaitua,850871.7188,WS_62_Fagaitua,26,63,0.048350093,41139.72657,715261,0.840621429,1.05927691,0.593683066,0.019966243,0.259121241,1.932047461,2.270668326,3.379243088
PAGO,,Pago Pago Harbor,3420638.469,WS_81_Pago Pago Harbor,305,227,0.091114998,311671.4683,2196471,0.642123107,12.42613299,2.139143746,0.151262752,0.795726724,15.51226621,4.534903747,29.80602701
NUUULI,,Nuuuli Pala,2331562.531,WS_84_Nuuuli Pala,59,195,0.025464243,59371.4756,1999346,0.857513351,2.403743758,1.837590443,0.028814613,0.724313247,4.994462061,2.14210942,6.478522003
Tafeu_No_name,,Fagatuitui - Vaaogeoge,922689.25,WS_94_Fagatuitui - Vaaogeoge,0,0,0,0,915847,0.992584448,0,0,0,0.331788552,0.331788552,0.359588618,0.27153187
Leone_Maloata,,Leone,9935617.922,WS_98_Leone_Maloata,947,1580,9999,2083102.454,3782448,999,38.58212439,14.88919436,1.010987024,1.37028668,55.85259245,5.621451317,9.017739991
